accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,Link
0001193125-23-253445,2023-10-10,,2023-10-10T15:56:57.000Z,34,SC 13D,005-94173,231317866,,139391,0,0,d371799dsc13d.htm,SC 13D,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523253445/0001193125-23-253445-index.htm
0001193125-23-253434,2023-10-10,,2023-10-10T15:53:56.000Z,34,SC 13D,005-94173,231317853,,139121,0,0,d444124dsc13d.htm,SC 13D,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523253434/0001193125-23-253434-index.htm
0001193125-23-252443,2023-10-06,2023-10-06,2023-10-06T16:54:25.000Z,34,6-K,001-41823,231314764,,28854,0,0,d509820d6k.htm,6-K,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523252443/0001193125-23-252443-index.htm
0001193125-23-247547,2023-09-29,2023-09-29,2023-09-29T17:06:58.000Z,34,20-F,001-41823,231296550,,2134576,0,0,d532268d20f.htm,FORM 20-F,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523247547/0001193125-23-247547-index.htm
0001354457-23-000711,2023-09-29,,2023-09-29T12:35:05.000Z,34,CERT,001-41823,231293732,,190480,0,0,8A_cert_NVNI.pdf,8A CERT,https://www.sec.gov/Archives/edgar/data/0001965143/000135445723000711/0001354457-23-000711-index.htm
0001193125-23-246848,2023-09-29,2023-09-29,2023-09-29T11:42:57.000Z,34,6-K,001-41823,231293266,,39393,0,0,d526329d6k.htm,6-K,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523246848/0001193125-23-246848-index.htm
0001193125-23-246560,2023-09-29,,2023-09-29T09:02:25.000Z,34,8-A12B,001-41823,231292206,,14480,0,0,d479629d8a12b.htm,8-A12B,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523246560/0001193125-23-246560-index.htm
0001193125-23-244656,2023-09-28,,2023-09-28T06:18:08.000Z,33,424B3,333-272688,231286092,,55311,0,0,d125638d424b3.htm,424B3,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523244656/0001193125-23-244656-index.htm
0001193125-23-244650,2023-09-28,,2023-09-28T06:13:50.000Z,,425,,,,153663,0,0,d552103d425.htm,425,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523244650/0001193125-23-244650-index.htm
0001193125-23-243834,2023-09-27,,2023-09-27T17:04:23.000Z,33,F-4MEF,333-274723,231285370,,152859,0,0,d559525df4mef.htm,F-4MEF,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523243834/0001193125-23-243834-index.htm
0001193125-23-240879,2023-09-25,,2023-09-25T06:22:03.000Z,33,424B3,333-272688,231272959,,167820,0,0,d549862d424b3.htm,424B3,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523240879/0001193125-23-240879-index.htm
0001193125-23-240867,2023-09-25,,2023-09-25T06:10:55.000Z,,425,,,,157673,0,0,d496736d425.htm,425,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523240867/0001193125-23-240867-index.htm
0001193125-23-233570,2023-09-12,,2023-09-12T17:14:57.000Z,,425,,,,24747,0,0,d485311d425.htm,425,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523233570/0001193125-23-233570-index.htm
9999999995-23-002595,2023-09-07,,2023-09-08T00:15:19.000Z,33,EFFECT,333-272688,231243611,"F-4,,2023-09-07 16:00:00",1746,0,0,xslEFFECTX01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/0001965143/999999999523002595/9999999995-23-002595-index.htm
0001193125-23-230758,2023-09-07,,2023-09-07T17:17:19.000Z,33,424B3,333-272688,231243083,,7132898,0,0,d310003d424b3.htm,424B3,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523230758/0001193125-23-230758-index.htm
0001193125-23-230643,2023-09-07,,2023-09-07T16:10:25.000Z,,425,,,,26895,0,0,d446561d425.htm,425,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523230643/0001193125-23-230643-index.htm
0001193125-23-230421,2023-09-07,,2023-09-07T12:34:56.000Z,,CORRESP,,,,10242,0,0,filename1.htm,,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523230421/0001193125-23-230421-index.htm
0001193125-23-229750,2023-09-06,,2023-09-06T17:16:28.000Z,33,F-4/A,333-272688,231240123,,7329243,0,0,d310003df4a.htm,F-4/A,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523229750/0001193125-23-229750-index.htm
0001193125-23-229744,2023-09-06,,2023-09-06T17:13:27.000Z,,CORRESP,,,,55875,0,0,filename1.htm,,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523229744/0001193125-23-229744-index.htm
0000000000-23-009780,2023-09-05,,2023-09-05T13:30:06.000Z,,UPLOAD,,,,44829,0,0,filename1.pdf,,https://www.sec.gov/Archives/edgar/data/0001965143/000000000023009780/0000000000-23-009780-index.htm
0001193125-23-224957,2023-08-30,,2023-08-30T16:26:39.000Z,33,F-4/A,333-272688,231225557,,7351893,0,0,d310003df4a.htm,F-4/A,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523224957/0001193125-23-224957-index.htm
0001193125-23-224953,2023-08-30,,2023-08-30T16:22:57.000Z,,CORRESP,,,,110901,0,0,filename1.htm,,https://www.sec.gov/Archives/edgar/data/0001965143/000119312523224953/0001193125-23-224953-index.htm
