Ticker,CIK Code
AAPL,320193
MSFT,789019
GOOGL,1652044
AMZN,1018724
NVDA,1045810
META,1326801
BRK-B,1067983
TSLA,1318605
LLY,59478
V,1403161
UNH,731766
TSM,1046179
WMT,104169
NVO,353278
XOM,34088
JPM,19617
SPY,884394
MA,1141391
JNJ,200406
AVGO,1730168
LVMUY,824046
PG,80424
LTMAY,1047716
CVX,93410
HD,354950
ORCL,1341439
MRK,310158
ABBV,1551152
ADBE,796343
COST,909832
KO,21344
ASML,937966
TM,1094517
PEP,77476
SHEL,1306965
CSCO,858877
BABA,1577552
BAC,70858
AZN,901832
CRM,1108524
NVS,1114448
MCD,63908
ACN,1467373
NFLX,1065280
FMX,1061736
LIN,1707925
CMCSA,1166691
TMO,97745
PFE,78003
TMUS,1283699
ABT,1800
AMD,2488
NKE,320187
TTE,879764
SAP,1000184
DIS,1744489
AMGN,318154
DHR,313616
HSBC,1089113
PDD,1737806
COP,1163165
INTC,50863
HDB,1144967
VZ,732712
WFC,72971
BHP,811809
INTU,896878
QQQ,1067839
PM,1413329
TXN,97476
SNY,1121404
CAT,18230
UPS,1090727
IBM,51143
UNP,100885
GE,40545
QCOM,804328
UL,217410
HON,773840
MS,895421
BMY,14272
BX,1393818
RTNTF,887028
RTX,101829
BP,313807
NOW,1373715
AMAT,6951
RY,1000275
NEE,753308
T,732717
BA,12927
SPGI,64040
LMT,936468
SBUX,829224
DE,315189
LOW,60667
ELV,1156039
BUD,1668717
AXP,4962
EADSY,1378580
SONY,313838
PBR,1119639
TJX,109198
TD,947263
RIO,863064
BKNG,1075531
SYK,310764
GS,886982
ADP,8670
EQNR,1140625
MUFG,67088
ISRG,1035267
GILD,882095
MDT,1613103
VRTX,875320
PLD,1045609
MMC,62709
BLK,1364742
PGR,80661
SCHW,316709
CI,1739940
UBER,1543151
MDLZ,1103982
CVS,64803
REGN,872589
DEO,835403
CB,896159
SLB,87347
ADI,6281
LRCX,707549
ETN,1551182
IBN,1103838
ABNB,1559720
PANW,1327567
UBS,1610520
ZTS,1555280
CME,1156375
EOG,821189
AMT,1053507
MO,764180
BDX,10795
BSX,885725
MU,723125
C,831001
GSK,1131399
CSLLY,1274152
NOC,1133421
SO,92122
SNPS,883241
FI,798354
PBCRY,1463157
INFY,1067491
CFRUY,948401
CNQ,1017413
MBGYY,1067318
CNI,16868
NTES,1110646
BNPQY,310732
ENB,895728
DUK,1326160
ITW,49826
SHOP,1594805
BTI,1303523
GLNCY,1524684
EQIX,1101239
VMW,1124610
RELX,929869
AON,315293
CP,16875
CHTR,1091667
HUM,49071
KLAC,319201
CDNS,813672
SMFG,1022837
GD,40533
KKR,1404912
HCA,860730
WM,823768
TOELY,1443276
ENLAY,1096200
APD,2969
ABBNY,1091587
ICE,1571949
ATLKY,748954
MELI,1099590
FDX,1048911
MCK,927653
CL,21665
SHW,89800
EPD,1061219
MPC,1510295
PYPL,1633917
CSX,277948
ANET,1596532
STLA,1605484
SAN,891478
PXD,1038357
SHECY,1442651
MAR,1048286
TRI,1075124
MCO,1059556
OXY,797468
WDAY,1327811
SCCO,1001838
VALE,917851
BMO,927971
RACE,1648416
ARM,1973239
E,1002242
AMX,1129137
ITUB,1132597
ORLY,898173
MNST,865752
EMR,32604
HMC,715153
ROP,882835
CTAS,723254
